SKU Code,Design No.,Stock,Category,Size,Color,Color_clean,Category_clean,Category_group,Stock_per_Category,Color_Popularity,Size_Popularity,Design No._enc,Category_group_enc,Color_clean_enc,Size_enc
AN201-RED-L,AN201,5.0,Leggings,L,Red,Red,Leggings,Bottomwear,0.0007124536905101168,0.10009707690648258,0.1439974112824938,0,0,14,4
AN201-RED-M,AN201,5.0,Leggings,M,Red,Red,Leggings,Bottomwear,0.0007124536905101168,0.10009707690648258,0.1447524538884694,0,0,14,5
AN201-RED-S,AN201,3.0,Leggings,S,Red,Red,Leggings,Bottomwear,0.0004274722143060701,0.10009707690648258,0.1459389494121454,0,0,14,6
AN201-RED-XL,AN201,6.0,Leggings,XL,Red,Red,Leggings,Bottomwear,0.0008549444286121402,0.10009707690648258,0.14453672742961923,0,0,14,8
AN201-RED-XXL,AN201,3.0,Leggings,XXL,Red,Red,Leggings,Bottomwear,0.0004274722143060701,0.10009707690648258,0.14432100097076905,0,0,14,10
AN202-ORANGE-L,AN202,11.0,Leggings,L,Orange,Orange,Leggings,Bottomwear,0.001567398119122257,0.02869161902707367,0.1439974112824938,1,0,11,4
AN202-ORANGE-M,AN202,3.0,Leggings,M,Orange,Orange,Leggings,Bottomwear,0.0004274722143060701,0.02869161902707367,0.1447524538884694,1,0,11,5
AN202-ORANGE-S,AN202,16.0,Leggings,S,Orange,Orange,Leggings,Bottomwear,0.002279851809632374,0.02869161902707367,0.1459389494121454,1,0,11,6
AN202-ORANGE-XL,AN202,8.0,Leggings,XL,Orange,Orange,Leggings,Bottomwear,0.001139925904816187,0.02869161902707367,0.14453672742961923,1,0,11,8
AN202-ORANGE-XXL,AN202,14.0,Leggings,XXL,Orange,Orange,Leggings,Bottomwear,0.001994870333428327,0.02869161902707367,0.14432100097076905,1,0,11,10
AN203-MAROON-L,AN203,1.0,Leggings,L,Maroon,Red,Leggings,Bottomwear,0.00014249073810202338,0.10009707690648258,0.1439974112824938,2,0,14,4
AN203-MAROON-M,AN203,2.0,Leggings,M,Maroon,Red,Leggings,Bottomwear,0.00028498147620404675,0.10009707690648258,0.1447524538884694,2,0,14,5
AN203-MAROON-S,AN203,2.0,Leggings,S,Maroon,Red,Leggings,Bottomwear,0.00028498147620404675,0.10009707690648258,0.1459389494121454,2,0,14,6
AN203-MAROON-XL,AN203,2.0,Leggings,XL,Maroon,Red,Leggings,Bottomwear,0.00028498147620404675,0.10009707690648258,0.14453672742961923,2,0,14,8
